train_step,method,seed,current_difficulty,target_difficulty_steps,eval_difficulty,eval_mode,eval_rap,mean_reward,std_reward,win_rate,threshold_hit,stage_steps,stage_index
50000,curriculum,44,0,0,0,0,0.25,-21.0,0.0,0.0,0,50000,0
100000,curriculum,44,0,0,0,0,0.25,-21.0,0.0,0.0,0,100000,0
150000,curriculum,44,0,0,0,0,0.25,-21.0,0.0,0.0,0,150000,0
200000,curriculum,44,0,0,0,0,0.25,-21.0,0.0,0.0,0,200000,0
250000,curriculum,44,0,0,0,0,0.25,-21.0,0.0,0.0,0,250000,0
300000,curriculum,44,0,0,0,0,0.25,-21.0,0.0,0.0,0,300000,0
350000,curriculum,44,0,0,0,0,0.25,-21.0,0.0,0.0,0,350000,0
400000,curriculum,44,0,0,0,0,0.25,-21.0,0.0,0.0,0,400000,0
450000,curriculum,44,0,0,0,0,0.25,-20.4,0.4898979485566356,0.0,0,450000,0
500000,curriculum,44,0,0,0,0,0.25,-20.6,0.4898979485566356,0.0,0,500000,0
550000,curriculum,44,0,0,0,0,0.25,-17.3,2.5709920264364885,0.0,0,550000,0
600000,curriculum,44,0,0,0,0,0.25,-15.5,1.857417562100671,0.0,0,600000,0
650000,curriculum,44,0,0,0,0,0.25,-18.4,2.1540659228538015,0.0,0,650000,0
700000,curriculum,44,0,0,0,0,0.25,-16.8,2.3579652245103193,0.0,0,700000,0
750000,curriculum,44,0,0,0,0,0.25,-14.0,2.756809750418044,0.0,0,750000,0
800000,curriculum,44,0,0,0,0,0.25,-14.4,5.083306010855534,0.0,0,800000,0
850000,curriculum,44,0,0,0,0,0.25,-14.5,2.9748949561287032,0.0,0,850000,0
900000,curriculum,44,0,0,0,0,0.25,-8.8,10.562196741208716,0.2,0,900000,0
950000,curriculum,44,0,0,0,0,0.25,-14.1,3.4481879299133333,0.0,0,950000,0
1000000,curriculum,44,0,0,0,0,0.25,-3.7,7.128113354878694,0.2,0,1000000,0
1050000,curriculum,44,0,0,0,0,0.25,2.3,11.269871339105872,0.5,0,1050000,0
1100000,curriculum,44,0,0,0,0,0.25,-4.7,5.74543296888929,0.2,0,1100000,0
1150000,curriculum,44,0,0,0,0,0.25,-0.8,5.861740355901138,0.4,0,1150000,0
1200000,curriculum,44,0,0,0,0,0.25,5.9,10.72800074571213,0.6,0,1200000,0
1250000,curriculum,44,0,0,0,0,0.25,-0.2,9.957911427603683,0.4,0,1250000,0
1300000,curriculum,44,0,0,0,0,0.25,2.8,9.579144011862438,0.5,0,1300000,0
1350000,curriculum,44,0,0,0,0,0.25,3.6,9.297311439335568,0.5,0,1350000,0
1400000,curriculum,44,0,0,0,0,0.25,0.7,10.373523991392704,0.4,0,1400000,0
1450000,curriculum,44,0,0,0,0,0.25,9.7,7.563729238940273,0.8,0,1450000,0
1500000,curriculum,44,0,0,0,0,0.25,5.7,7.655716818169282,0.7,0,1500000,0
1550000,curriculum,44,0,0,0,0,0.25,5.4,9.941830817309254,0.6,0,1550000,0
1600000,curriculum,44,0,0,0,0,0.25,6.5,9.287087810503355,0.6,0,1600000,0
1650000,curriculum,44,0,0,0,0,0.25,6.5,6.756478372643548,0.8,0,1650000,0
1700000,curriculum,44,0,0,0,0,0.25,0.3,7.563729238940272,0.3,0,1700000,0
1750000,curriculum,44,0,0,0,0,0.25,13.3,2.451530134426253,1.0,0,1750000,0
1800000,curriculum,44,0,0,0,0,0.25,10.9,3.448187929913334,1.0,0,1800000,0
1850000,curriculum,44,0,0,0,0,0.25,11.4,3.1368774282716245,1.0,0,1850000,0
1900000,curriculum,44,0,0,0,0,0.25,10.2,4.578209256903839,0.9,0,1900000,0
1950000,curriculum,44,0,0,0,0,0.25,11.1,2.3000000000000003,1.0,0,1950000,0
2000000,curriculum,44,0,0,0,0,0.25,12.1,2.981610303175115,1.0,0,2000000,0
2050000,curriculum,44,0,0,0,0,0.25,13.5,2.1563858652847827,1.0,0,2050000,0
2100000,curriculum,44,0,0,0,0,0.25,12.7,2.6476404589747453,1.0,0,2100000,0
2150000,curriculum,44,0,0,0,0,0.25,11.2,3.124099870362662,1.0,0,2150000,0
2200000,curriculum,44,0,0,0,0,0.25,10.9,3.144837038703278,1.0,0,2200000,0
2250000,curriculum,44,0,0,0,0,0.25,9.3,4.920365840057018,0.9,0,2250000,0
2300000,curriculum,44,0,0,0,0,0.25,11.4,2.2,1.0,0,2300000,0
2350000,curriculum,44,0,0,0,0,0.25,14.4,4.004996878900157,1.0,0,2350000,0
2400000,curriculum,44,0,0,0,0,0.25,13.6,3.5552777669262356,1.0,0,2400000,0
2450000,curriculum,44,0,0,0,0,0.25,12.7,2.6095976701399777,1.0,0,2450000,0
2500000,curriculum,44,0,0,0,0,0.25,12.6,2.764054992217051,1.0,0,2500000,0
2550000,curriculum,44,0,0,0,0,0.25,12.8,4.686149805543993,1.0,0,2550000,0
2600000,curriculum,44,0,0,0,0,0.25,13.4,2.5768197453450252,1.0,0,2600000,0
2650000,curriculum,44,0,0,0,0,0.25,12.7,4.539823785126467,1.0,0,2650000,0
2700000,curriculum,44,0,0,0,0,0.25,12.5,4.759201613716317,1.0,0,2700000,0
2750000,curriculum,44,0,0,0,0,0.25,13.5,3.9560080889704965,1.0,0,2750000,0
2800000,curriculum,44,0,0,0,0,0.25,14.7,3.407345007480164,1.0,0,2800000,0
2850000,curriculum,44,0,0,0,0,0.25,12.4,4.294182110716778,1.0,0,2850000,0
2900000,curriculum,44,0,0,0,0,0.25,14.2,2.9257477676655586,1.0,0,2900000,0
2950000,curriculum,44,0,0,0,0,0.25,12.2,2.481934729198171,1.0,0,2950000,0
3000000,curriculum,44,0,0,0,0,0.25,14.4,3.006659275674582,1.0,0,3000000,0
3050000,curriculum,44,0,0,0,0,0.25,10.4,4.565084884205331,1.0,0,3050000,0
3100000,curriculum,44,0,0,0,0,0.25,12.0,3.0659419433511785,1.0,0,3100000,0
3150000,curriculum,44,0,0,0,0,0.25,14.0,3.924283374069717,1.0,0,3150000,0
3200000,curriculum,44,0,0,0,0,0.25,14.3,3.6345563690772495,1.0,0,3200000,0
