train_step,method,seed,current_difficulty,target_difficulty_steps,eval_difficulty,eval_mode,eval_rap,mean_reward,std_reward,win_rate,threshold_hit,stage_steps,stage_index
400000,direct,43,3,50000,3,0,0.25,-21.0,0.0,0.0,0,400000,0
800000,direct,43,3,100000,3,0,0.25,2.2,9.589577675789482,0.6,0,800000,0
1200000,direct,43,3,150000,3,0,0.25,6.8,8.588364221433556,0.9,0,1200000,0
1600000,direct,43,3,200000,3,0,0.25,10.9,6.934695379034323,0.9,0,1600000,0
2000000,direct,43,3,250000,3,0,0.25,16.0,2.04939015319192,1.0,1,2000000,0
2400000,direct,43,3,300000,3,0,0.25,12.6,9.666436778875658,0.8,0,2400000,0
2800000,direct,43,3,350000,3,0,0.25,13.5,4.4328320518603,1.0,0,2800000,0
3200000,direct,43,3,400000,3,0,0.25,15.7,2.9681644159311658,1.0,1,3200000,0
3600000,direct,43,3,450000,3,0,0.25,8.7,11.576268828944842,0.8,0,3600000,0
4000000,direct,43,3,500000,3,0,0.25,12.2,10.283968105745952,0.8,0,4000000,0
4400000,direct,43,3,550000,3,0,0.25,13.2,4.467661580737736,1.0,0,4400000,0
4800000,direct,43,3,600000,3,0,0.25,9.1,12.0867696263311,0.7,0,4800000,0
5200000,direct,43,3,650000,3,0,0.25,12.8,6.321392251711643,0.9,0,5200000,0
5600000,direct,43,3,700000,3,0,0.25,15.2,5.564171097297422,1.0,1,5600000,0
6000000,direct,43,3,750000,3,0,0.25,16.6,2.8354893757515653,1.0,1,6000000,0
6400000,direct,43,3,800000,3,0,0.25,15.5,5.333854141237834,1.0,1,6400000,0
6800000,direct,43,3,850000,3,0,0.25,17.0,3.492849839314596,1.0,1,6800000,0
7200000,direct,43,3,900000,3,0,0.25,15.1,2.1656407827707715,1.0,1,7200000,0
7600000,direct,43,3,950000,3,0,0.25,10.4,10.278132126023676,0.9,0,7600000,0
8000000,direct,43,3,1000000,3,0,0.25,18.0,1.6733200530681511,1.0,1,8000000,0
8400000,direct,43,3,1050000,3,0,0.25,15.8,4.261455150532503,1.0,1,8400000,0
8800000,direct,43,3,1100000,3,0,0.25,18.0,2.0,1.0,1,8800000,0
9200000,direct,43,3,1150000,3,0,0.25,17.0,3.3166247903554,1.0,1,9200000,0
9600000,direct,43,3,1200000,3,0,0.25,18.6,1.562049935181331,1.0,1,9600000,0
10000000,direct,43,3,1250000,3,0,0.25,16.9,2.467792535850613,1.0,1,10000000,0
10400000,direct,43,3,1300000,3,0,0.25,18.8,2.181742422927143,1.0,1,10400000,0
10800000,direct,43,3,1350000,3,0,0.25,17.1,1.2206555615733703,1.0,1,10800000,0
11200000,direct,43,3,1400000,3,0,0.25,18.3,1.5524174696260025,1.0,1,11200000,0
11600000,direct,43,3,1450000,3,0,0.25,17.9,1.6401219466856725,1.0,1,11600000,0
12000000,direct,43,3,1500000,3,0,0.25,18.9,1.3000000000000003,1.0,1,12000000,0
12400000,direct,43,3,1550000,3,0,0.25,18.4,1.562049935181331,1.0,1,12400000,0
12800000,direct,43,3,1600000,3,0,0.25,18.4,2.0591260281974,1.0,1,12800000,0
13200000,direct,43,3,1650000,3,0,0.25,17.1,2.211334438749598,1.0,1,13200000,0
