method,target_difficulty_steps,mean_reward,reward_std
curriculum,50000,8.5,
curriculum,100000,11.0,
curriculum,150000,13.5,
curriculum,200000,13.0,
curriculum,250000,15.1,
curriculum,300000,15.0,
curriculum,350000,15.1,
curriculum,400000,14.7,
curriculum,450000,14.6,
curriculum,500000,17.0,
curriculum,550000,17.4,
curriculum,600000,13.6,
curriculum,650000,16.8,
curriculum,700000,17.7,
curriculum,750000,16.9,
curriculum,800000,18.0,
curriculum,850000,18.2,
curriculum,900000,17.2,
curriculum,950000,14.9,
curriculum,1000000,18.0,
curriculum,1050000,16.7,
curriculum,1100000,18.2,
curriculum,1150000,16.9,
curriculum,1200000,18.6,
curriculum,1250000,12.5,
curriculum,1300000,17.9,
curriculum,1350000,17.8,
curriculum,1400000,18.1,
curriculum,1450000,17.3,
curriculum,1500000,17.2,
curriculum,1550000,17.2,
curriculum,1600000,16.5,
curriculum,1650000,15.1,
curriculum,1700000,16.6,
curriculum,1750000,16.6,
curriculum,1800000,15.7,
curriculum,1850000,17.5,
curriculum,1900000,14.1,
curriculum,1950000,16.4,
curriculum,2000000,16.5,
curriculum,2050000,17.1,
curriculum,2100000,14.8,
curriculum,2150000,15.4,
curriculum,2200000,18.4,
curriculum,2250000,17.5,
curriculum,2300000,16.7,
curriculum,2350000,16.0,
curriculum,2400000,16.1,
curriculum,2450000,16.8,
curriculum,2500000,18.6,
curriculum,2550000,17.1,
curriculum,2600000,16.6,
curriculum,2650000,17.3,
curriculum,2700000,17.7,
curriculum,2750000,16.2,
curriculum,2800000,16.7,
curriculum,2850000,17.2,
curriculum,2900000,18.1,
curriculum,2950000,16.2,
curriculum,3000000,15.5,
curriculum,3050000,18.1,
curriculum,3100000,16.1,
curriculum,3150000,15.4,
curriculum,3200000,16.1,
curriculum,3250000,17.5,
curriculum,3300000,18.1,
curriculum,3350000,18.2,
curriculum,3400000,17.3,
curriculum,3450000,17.3,
curriculum,3500000,15.9,
curriculum,3550000,17.4,
curriculum,3600000,17.3,
curriculum,3650000,18.3,
curriculum,3700000,18.6,
curriculum,3750000,17.6,
curriculum,3800000,17.0,
curriculum,3850000,17.2,
curriculum,3900000,16.2,
curriculum,3950000,16.4,
curriculum,4000000,15.6,
curriculum,4050000,18.2,
curriculum,4100000,17.6,
curriculum,4150000,16.3,
curriculum,4200000,19.1,
curriculum,4250000,18.2,
curriculum,4300000,17.6,
curriculum,4350000,18.8,
curriculum,4400000,17.4,
curriculum,4450000,15.2,
curriculum,4500000,16.7,
curriculum,4550000,18.5,
curriculum,4600000,17.8,
curriculum,4650000,16.7,
curriculum,4700000,18.9,
curriculum,4750000,18.8,
curriculum,4800000,16.8,
curriculum,4850000,17.5,
curriculum,4900000,18.7,
curriculum,4950000,18.4,
curriculum,5000000,17.4,
curriculum,5050000,17.6,
curriculum,5100000,18.6,
curriculum,5150000,18.1,
curriculum,5200000,16.9,
curriculum,5250000,17.2,
curriculum,5300000,14.0,
curriculum,5350000,18.2,
curriculum,5400000,15.5,
curriculum,5450000,15.2,
curriculum,5500000,17.5,
curriculum,5550000,18.7,
curriculum,5600000,17.5,
curriculum,5650000,17.9,
curriculum,5700000,17.6,
curriculum,5750000,16.0,
curriculum,5800000,18.9,
curriculum,5850000,18.6,
curriculum,5900000,16.0,
curriculum,5950000,16.4,
curriculum,6000000,17.5,
curriculum,6050000,17.4,
curriculum,6100000,17.2,
curriculum,6150000,18.5,
curriculum,6200000,17.5,
curriculum,6250000,18.1,
curriculum,6300000,15.8,
curriculum,6350000,18.1,
curriculum,6400000,16.8,
curriculum,6450000,18.5,
curriculum,6500000,17.6,
curriculum,6550000,18.6,
curriculum,6600000,17.1,
curriculum,6650000,18.4,
curriculum,6700000,18.4,
curriculum,6750000,18.7,
curriculum,6800000,19.5,
curriculum,6850000,18.5,
curriculum,6900000,16.5,
curriculum,6950000,16.4,
curriculum,7000000,18.1,
curriculum,7050000,16.8,
curriculum,7100000,17.4,
curriculum,7150000,17.2,
curriculum,7200000,16.0,
curriculum,7250000,16.5,
curriculum,7300000,17.3,
curriculum,7350000,18.0,
curriculum,7400000,16.4,
curriculum,7450000,16.5,
curriculum,7500000,19.0,
curriculum,7550000,16.1,
curriculum,7600000,14.6,
curriculum,7650000,17.5,
curriculum,7700000,18.4,
curriculum,7750000,17.8,
curriculum,7800000,17.3,
curriculum,7850000,16.8,
curriculum,7900000,16.5,
curriculum,7950000,18.1,
curriculum,8000000,18.2,
curriculum,8050000,18.7,
curriculum,8100000,18.3,
curriculum,8150000,17.3,
curriculum,8200000,17.4,
curriculum,8250000,17.3,
curriculum,8300000,18.2,
curriculum,8350000,16.9,
curriculum,8400000,17.7,
curriculum,8450000,17.7,
curriculum,8500000,16.8,
curriculum,8550000,15.7,
curriculum,8600000,17.1,
curriculum,8650000,17.4,
curriculum,8700000,17.8,
curriculum,8750000,17.8,
curriculum,8800000,17.6,
curriculum,8850000,18.8,
curriculum,8900000,18.7,
curriculum,8950000,18.2,
curriculum,9000000,18.1,
curriculum,9050000,18.2,
curriculum,9100000,17.3,
curriculum,9150000,18.1,
curriculum,9200000,18.6,
curriculum,9250000,18.5,
curriculum,9300000,17.2,
curriculum,9350000,19.0,
curriculum,9400000,17.8,
curriculum,9450000,19.1,
curriculum,9500000,18.2,
curriculum,9550000,17.8,
curriculum,9600000,16.9,
curriculum,9650000,18.1,
curriculum,9700000,18.4,
curriculum,9750000,15.7,
curriculum,9800000,18.9,
curriculum,9850000,18.8,
curriculum,9900000,18.8,
curriculum,9950000,17.5,
curriculum,10000000,18.7,
curriculum,10050000,17.7,
curriculum,10100000,16.9,
curriculum,10150000,16.0,
curriculum,10200000,15.7,
curriculum,10250000,16.6,
curriculum,10300000,18.0,
curriculum,10350000,17.6,
curriculum,10400000,17.6,
curriculum,10450000,17.2,
curriculum,10500000,16.2,
curriculum,10550000,17.7,
curriculum,10600000,17.1,
curriculum,10650000,19.3,
curriculum,10700000,18.7,
curriculum,10750000,18.9,
curriculum,10800000,18.9,
curriculum,10850000,17.8,
curriculum,10900000,17.6,
curriculum,10950000,17.5,
curriculum,11000000,17.7,
curriculum,11050000,18.7,
curriculum,11100000,16.4,
curriculum,11150000,18.9,
curriculum,11200000,18.2,
curriculum,11250000,18.9,
curriculum,11300000,18.6,
curriculum,11350000,18.4,
curriculum,11400000,18.4,
curriculum,11450000,17.7,
curriculum,11500000,18.6,
curriculum,11550000,18.9,
curriculum,11600000,18.4,
curriculum,11650000,18.4,
curriculum,11700000,19.2,
curriculum,11750000,18.3,
curriculum,11800000,17.4,
curriculum,11850000,17.1,
curriculum,11900000,17.3,
curriculum,11950000,18.5,
curriculum,12000000,18.3,
curriculum,12050000,19.0,
curriculum,12100000,18.8,
curriculum,12150000,19.2,
curriculum,12200000,18.0,
curriculum,12250000,18.3,
curriculum,12300000,18.8,
curriculum,12350000,19.0,
curriculum,12400000,17.3,
curriculum,12450000,18.2,
curriculum,12500000,19.3,
curriculum,12550000,17.7,
curriculum,12600000,17.5,
curriculum,12650000,19.1,
curriculum,12700000,17.3,
curriculum,12750000,18.0,
curriculum,12800000,18.5,
curriculum,12850000,18.6,
curriculum,12900000,18.0,
curriculum,12950000,17.6,
curriculum,13000000,17.7,
curriculum,13050000,18.5,
curriculum,13100000,18.7,
curriculum,13150000,18.4,
curriculum,13200000,16.9,
curriculum,13250000,17.5,
curriculum,13300000,17.8,
curriculum,13350000,18.7,
curriculum,13400000,18.6,
curriculum,13450000,18.6,
curriculum,13500000,18.8,
curriculum,13550000,18.7,
curriculum,13600000,20.0,
curriculum,13650000,18.3,
curriculum,13700000,17.3,
curriculum,13750000,18.5,
curriculum,13800000,19.2,
curriculum,13850000,17.5,
curriculum,13900000,17.8,
curriculum,13950000,19.6,
curriculum,14000000,17.1,
curriculum,14050000,17.7,
curriculum,14100000,18.2,
curriculum,14150000,17.4,
direct,50000,-8.466666666666667,21.70837012152993
direct,100000,5.966666666666666,11.521429309479501
direct,150000,11.0,4.714870093650514
direct,200000,9.4,5.3113086899558
direct,250000,14.200000000000001,4.573838650411709
direct,300000,13.0,4.214261501141095
direct,350000,13.5,4.300000000000001
direct,400000,15.433333333333332,2.311565126344775
direct,450000,13.6,4.484417464955733
direct,500000,14.6,2.5059928172283334
direct,550000,16.133333333333336,2.73007936392577
direct,600000,14.666666666666666,4.827352621606726
direct,650000,12.533333333333333,5.105226080530944
direct,700000,14.199999999999998,4.386342439892262
direct,750000,13.333333333333334,6.274020507882753
direct,800000,14.5,4.484417464955732
direct,850000,14.333333333333334,5.873102530463207
direct,900000,16.166666666666668,1.594783161854091
direct,950000,14.0,4.059556626036888
direct,1000000,18.233333333333334,0.7767453465154032
direct,1050000,16.466666666666665,1.0692676621563622
direct,1100000,17.400000000000002,0.5999999999999979
direct,1150000,17.5,0.45825756949558355
direct,1200000,18.233333333333334,1.1930353445448874
direct,1250000,16.166666666666668,2.003330560175561
direct,1300000,17.266666666666666,2.4006943440041124
direct,1350000,16.066666666666666,1.6196707484341795
direct,1400000,16.366666666666664,3.0088757590391357
direct,1450000,16.8,2.910326442171049
direct,1500000,16.400000000000002,3.740320841853009
direct,1550000,16.266666666666666,3.1085902485424697
direct,1600000,17.766666666666666,1.6441816606851365
direct,1650000,16.599999999999998,1.6093476939431062
direct,1700000,17.2,2.088061301782109
direct,1750000,17.433333333333334,2.548201980482186
direct,1800000,17.433333333333334,0.850490054811537
direct,1850000,18.433333333333334,0.8144527815247073
direct,1900000,19.0,0.7211102550927985
direct,1950000,17.266666666666666,0.6658328118479406
direct,2000000,15.566666666666668,4.315476026272574
direct,2050000,18.466666666666665,0.7505553499465145
direct,2100000,17.8,1.0392304845413245
direct,2150000,19.166666666666668,0.3055050463303899
direct,2200000,18.066666666666666,1.0016652800877808
direct,2250000,17.7,0.6082762530298224
direct,2300000,18.033333333333335,0.30550504633039144
direct,2350000,17.266666666666666,1.4571661996262926
direct,2400000,17.03333333333333,0.23094010767585152
direct,2450000,17.166666666666668,1.184623709594457
direct,2500000,18.400000000000002,0.10000000000000053
direct,2550000,17.6,0.5
direct,2600000,17.900000000000002,0.7000000000000015
direct,2650000,18.0,0.7810249675906642
direct,2700000,18.566666666666666,0.4041451884327384
direct,2750000,17.866666666666667,0.40414518843273917
